"month","day","service","temp","pressure","humidity","wind_speed","wind_deg","rain_3h","clouds_all","weekday_Monday","weekday_Saturday","weekday_Sunday","weekday_Thursday","weekday_Tuesday","weekday_Wednesday","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Mist","weather_main_Rain","weather_main_Snow"
2,17,138,276.205673913043,1029.82608695652,96.8115942028985,2.1304347826087,264.739130434783,2.995,64.4057971014493,0,0,0,0,0,0,1,0,0,0,0,0
2,18,113,275.964601769911,1032.59292035398,96.9026548672566,4.67256637168142,259.53982300885,3.59,75.6106194690265,0,1,0,0,0,0,0,0,0,0,1,0
2,19,90,278.143344444444,1023.17777777778,92.8555555555556,6.22222222222222,252.666666666667,23.94,82.4444444444444,0,0,1,0,0,0,1,0,0,0,0,0
2,20,98,279.174704081633,1011.75510204082,89.9795918367347,9.5,255.867346938776,93.84,92.6938775510204,1,0,0,0,0,0,0,0,0,0,1,0
2,21,15,277.983947070255,1011.93333333333,90,9.8,283.333333333333,0.72,83.3333333333333,0,0,0,0,1,0,1,0,0,0,0,0
2,22,63,279.419841269841,987.968253968254,69.2063492063492,10.6825396825397,265.555555555556,0,74.4126984126984,0,0,0,0,0,1,1,0,0,0,0,0
2,23,102,276.542156862745,986.421568627451,88.4313725490196,4.2843137254902,188.627450980392,4.4,89.7450980392157,0,0,0,1,0,0,1,0,0,0,0,0
2,24,130,274.165384615385,1003.50769230769,80.8384615384615,4.28461538461538,277.461538461538,0,5.90769230769231,0,0,0,0,0,0,0,0,0,0,0,1
2,25,122,275.15,1010.95081967213,94.6639344262295,5.13934426229508,217.868852459016,0,60,0,1,0,0,0,0,0,0,0,0,0,0
2,26,86,279.801162790698,1002.1976744186,94.3023255813954,5.40697674418605,242.093023255814,3.2675,84.9651162790698,0,0,1,0,0,0,0,1,0,0,0,0
2,27,95,281.265789473684,997.578947368421,86.7684210526316,4.81052631578947,180.105263157895,1.95,80.2105263157895,1,0,0,0,0,0,0,0,0,1,0,0
2,28,275,278.571818181818,986.498181818182,75.7854545454545,6.41818181818182,207.309090909091,186.4125,70.1527272727273,0,0,0,0,1,0,0,0,0,0,0,0
3,1,179,277.719832402235,993.167597765363,85.5810055865922,6.26256983240223,229.441340782123,15.055,64.0223463687151,0,0,0,0,0,1,0,0,0,0,0,0
3,2,172,277.458139534884,997.145348837209,86.8837209302326,4.01162790697674,248.604651162791,1.725,79.0232558139535,0,0,0,1,0,0,0,0,0,1,0,0
3,3,195,278.652564102564,1005.24102564103,78.7179487179487,4.54871794871795,220.974358974359,0,40.2051282051282,0,0,0,0,0,0,1,0,0,0,0,0
3,4,133,278.05977443609,998.037593984962,84.2706766917293,5.33082706766917,99.6240601503759,6.175,47.1578947368421,0,1,0,0,0,0,1,0,0,0,0,0
3,5,21,277.483333333333,996.761904761905,89.6666666666667,7.61904761904762,99.0476190476191,7.3,86.4285714285714,0,0,1,0,0,0,1,0,0,0,0,0
3,6,109,275.021559633027,1006.21100917431,78.8532110091743,4.95412844036697,74.3119266055046,1.25,73.8348623853211,1,0,0,0,0,0,0,0,0,0,1,0
3,7,113,272.831415929204,1013.86725663717,82.8407079646018,3.3716814159292,292.212389380531,0,51.7522123893805,0,0,0,0,1,0,1,0,0,0,0,0
3,8,109,275.727981651376,1014.4495412844,83.6238532110092,4.8256880733945,161.467889908257,11.37,72.1100917431193,0,0,0,0,0,1,1,0,0,0,0,0
3,9,122,277.969672131147,1012.12295081967,94.8770491803279,3.68032786885246,204.590163934426,4.62,83.4426229508197,0,0,0,1,0,0,0,0,0,1,0,0
3,10,151,279.269205298013,1020.25165562914,70.1059602649007,5.33112582781457,307.152317880795,0,32.3443708609271,0,0,0,0,0,0,1,0,0,0,0,0
3,11,91,277.644505494505,1025.38461538462,76.3296703296703,2.02197802197802,165.714285714286,0,27.9340659340659,0,1,0,0,0,0,1,0,0,0,0,0
3,12,85,275.655882352941,1024.92941176471,86.8352941176471,5.21176470588235,129.647058823529,0,55.0235294117647,0,0,1,0,0,0,0,0,0,0,0,0
3,13,105,277.816666666667,1024.5619047619,80.0190476190476,3.1047619047619,170.952380952381,0,56.7619047619048,1,0,0,0,0,0,1,0,0,0,0,0
3,14,95,281.35,1021.37894736842,85,5.74736842105263,243.052631578947,0,40.6315789473684,0,0,0,0,1,0,0,0,0,1,0,0
3,15,97,281.438659793814,1022.18556701031,64.319587628866,9.90721649484536,285.257731958763,0,39.3814432989691,0,0,0,0,0,1,0,0,0,0,0,0
3,16,114,283.106140350877,1017.14912280702,75.7280701754386,4.67543859649123,248.070175438596,0,20.6315789473684,0,0,0,1,0,0,0,0,0,0,0,0
3,17,123,277.987398373984,1003.50406504065,86.8943089430894,6.40650406504065,264.308943089431,26.105,78.3414634146341,0,0,0,0,0,0,0,0,0,0,1,0
3,18,92,276.965217391304,993.119565217391,82.7608695652174,5.96739130434783,244.673913043478,0,33.4347826086956,0,1,0,0,0,0,0,0,0,0,1,0
3,19,77,275.799350649351,1002.31168831169,91.2077922077922,5.15584415584416,166.363636363636,1.155,70.1038961038961,0,0,1,0,0,0,0,0,0,0,0,0
3,20,106,280.206603773585,1000.09433962264,88.5754716981132,4.08490566037736,201.698113207547,75,88.622641509434,1,0,0,0,0,0,1,0,0,0,0,0
3,21,85,279.726470588235,1001.27058823529,81.5294117647059,7.65882352941177,245.411764705882,7.36,42.3529411764706,0,0,0,0,1,0,1,0,0,0,0,0
3,22,97,280.830412371134,1015.38144329897,67.1546391752577,4.4639175257732,240.618556701031,0,0.577319587628866,0,0,0,0,0,1,0,0,0,0,0,0
3,23,91,280.919230769231,1023.84615384615,62.8461538461538,1.94505494505495,151.076923076923,0,71.4725274725275,0,0,0,1,0,0,0,0,0,0,0,0
3,24,122,280.895901639344,1030.88524590164,51.6147540983607,3.0327868852459,288.196721311475,0,2.88524590163934,0,0,0,0,0,0,0,0,0,0,0,0
3,25,3,277.15,1029,86,5,280,0,36,0,1,0,0,0,0,1,0,0,0,0,0
3,26,3,279.483333333333,1025.66666666667,85,1.66666666666667,300,0,55,0,0,1,0,0,0,0,0,1,0,0,0
3,28,65,282.056707692308,1020.24615384615,79.3846153846154,2.24615384615385,241.338461538462,0,34.5846153846154,0,0,0,0,1,0,1,0,0,0,0,0
3,29,88,279.230090909091,1017.73863636364,92.9545454545455,4.48863636363636,291.204545454545,6.7,71.5454545454545,0,0,0,0,0,1,0,0,0,1,0,0
3,30,123,282.84918699187,1018.94308943089,94.5609756097561,5,204.634146341463,9.0875,80.9430894308943,0,0,0,1,0,0,1,0,0,0,0,0
3,31,308,287.325324675325,1013.30844155844,74.9707792207792,2.87662337662338,171.720779220779,0,40.4415584415584,0,0,0,0,0,0,0,0,0,0,0,0
4,1,200,286.35,1011.12,74.96,2.78,252.1,0,32.56,0,1,0,0,0,0,0,0,0,1,0,0
4,2,127,284.953149606299,1016.25984251969,76.9291338582677,3.21259842519685,283.44094488189,1.4,45.3385826771654,0,0,1,0,0,0,1,0,0,0,0,0
4,3,171,282.55350877193,1025.80116959064,70.8888888888889,2.5906432748538,289.649122807018,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,134,282.687313432836,1024.87313432836,70.3432835820896,2.2910447761194,149.34328358209,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,5,137,281.29598540146,1014.5401459854,71.2919708029197,8.24087591240876,281.021897810219,7.9925,39.970802919708,0,0,0,0,0,1,1,0,0,0,0,0
4,6,134,282.194776119403,1017.9328358209,71.9925373134328,7.15671641791045,299.55223880597,5.905,47.8805970149254,0,0,0,1,0,0,0,0,0,0,0,0
4,7,175,284.098571428571,1013.78285714286,79.1257142857143,6.20571428571429,305.028571428571,0,8.93714285714286,0,0,0,0,0,0,0,0,0,1,0,0
4,8,119,282.502941176471,1020.6974789916,81.0504201680672,5.36134453781513,290.336134453782,0,36.9411764705882,0,1,0,0,0,0,0,0,0,0,0,0
4,9,90,284.45,1020.73333333333,68.2111111111111,4.46666666666667,244.666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,10,101,282.971782178218,1009.76237623762,63.980198019802,9.4950495049505,274.257425742574,0,56.7524752475247,1,0,0,0,0,0,0,0,0,1,0,0
4,11,152,281.294736842105,1015.50657894737,64.7763157894737,8.3421052631579,293.092105263158,0,31.5526315789474,0,0,0,0,1,0,1,0,0,0,0,0
4,12,173,281.716473988439,1002.15028901734,83.393063583815,7.09826589595376,270.867052023121,26.6825,88.0231213872832,0,0,0,0,0,1,0,0,0,0,1,0
4,13,120,280.801965703781,1009.64166666667,82.15,6.74166666666667,281.741666666667,47.775,88.525,0,0,0,1,0,0,0,0,0,0,1,0
4,14,93,281.262021505376,1008.54838709677,72.4623655913979,5.32258064516129,298.924731182796,43.8625,89.5483870967742,0,0,0,0,0,0,1,0,0,0,0,0
4,15,105,278.15,1001.5619047619,88.4666666666667,6,191.904761904762,30.8,77.0666666666667,0,1,0,0,0,0,0,1,0,0,0,0
